built_type,year_built,flour,area,condition,bathrooms,balcony,exchange,furniture,security,ceil,parking,residance,phone,floor,door,balcony_glass,ex_dormetory,inernet,id,userType,rooms,lat,lon,district,street,house_num,price
,2014,4 из 6,240,хорошее,,балкон,Возможен обмен,полностью,"охрана, домофон, сигнализация, видеонаблюдение, видеодомофон, консьерж",3.2 м,паркинг,Europe Рalace I,отдельный,паркет,бронированная,да,нет,ADSL,30557823,specialist,4,51.123227,71.425408,Esilyskiy_r-n,Syganak,58,230000000
кирпичный,2016,1 из 6,42,хорошее,совмещенный,лоджия,,частично,домофон,2.7 м,,,,линолеум,металлическая,да,нет,,681527124,specialist,1,51.126650314637,71.502089345451,Almaty_r-n,Ul_Kenena_Azerbaeva,6,17400000
монолитный,2017,3 из 23,75.1,хорошее,,балкон,,,"домофон, видеодомофон",,,,,,,,нет,,681784709,specialist,3,51.113146,71.403983,Esilyskiy_r-n,prospekt_Kabanbay_Batyra,43blokA,50000000
кирпичный,2022,6 из 9,65,,,,Не интересует,,,3 м,паркинг,Dastur,,,,,нет,,680785833,owner,2,51.100110004223,71.394126308449,Esilyskiy_r-n,Uly_Dala,,26400000
монолитный,2012,10 из 10,38.4,,,,,,,2.7 м,паркинг,Инфинити-2,,,,,нет,,679023039,specialist,1,51.119432019242,71.41429345269,Esilyskiy_r-n,Kabanbay_batyra,42,20500000
монолитный,2009,2 из 12,63,хорошее,совмещенный,несколько балконов или лоджий,Не интересует,,"домофон, видеонаблюдение",2.7 м,рядом охраняемая стоянка,Кахарман,отдельный,ламинат,металлическая,да,нет,через TV кабель,678124028,owner,2,51.140443,71.481211,Almaty_r-n,B__Momyshuly,14,32000000
кирпичный,1998,9 из 9,93,хорошее,2 с/у и более,несколько балконов или лоджий,,полностью,"домофон, видеонаблюдение",27 м,,,отдельный,ламинат,,да,нет,оптика,677371856,owner,3,51.165833,71.402084,Saryarka_r-n,prospekt_Abaya,1,39000000
монолитный,2020,8 из 10,52,хорошее,совмещенный,лоджия,Не интересует,,"охрана, домофон, видеонаблюдение, видеодомофон",3 м,,Apple City,есть возможность подключения,ламинат,,да,нет,оптика,680780524,owner,2,51.086291220395,71.431870950104,Esilyskiy_r-n,Bokeyhana,25g,31000000
кирпичный,2009,5 из 12,98,хорошее,2 с/у и более,несколько балконов или лоджий,Не интересует,,"охрана, домофон",2.7 м,,Самрук,,ламинат,металлическая,да,нет,через TV кабель,674839544,owner,3,51.162522,71.399895,Saryarka_r-n,Kenesary,1,40900000
кирпичный,2011,7 из 20,48,хорошее,совмещенный,,,полностью,домофон,3 м,паркинг,Сказочный мир,нет,ламинат,,,нет,ADSL,675892911,owner,1,51.125378392561,71.476693896819,Almaty_r-n,prospekt_Rahimzhana_Koshkarbaeva,26k1,27000000
кирпичный,2022,11 из 12,38.9,черновая отделка,,,Не интересует,,,3 м,паркинг,Madrid 2,,,,,нет,,680089932,owner,1,51.161517,71.37459,Esilyskiy_r-n,​Chingiz_Aytmatov,52,13500000
монолитный,2007,3 из 14,118,хорошее,2 с/у и более,балкон и лоджия,,,"домофон, видеонаблюдение",2.7 м,паркинг,Тараз,,ламинат,,да,нет,,681764380,specialist,3,51.170762953487,71.440291266481,r-n_Baykonur,Abaya,,49999990
монолитный,2018,4 из 9,61,,,,,,,,,,,,,,нет,,680340188,specialist,2,51.113338,71.395395,,prospekt_Turan,,29000000
панельный,1962,2 из 4,57,среднее,,,Не интересует,,,2.7 м,,,,,,да,нет,,681734576,owner,3,51.181683,71.406983,Saryarka_r-n,Maskovskaya,29,18200000
монолитный,2022,6 из 10,38,,,,Не интересует,,,,паркинг,Angleterre,,,,,нет,,672785299,specialist,1,51.07820008307,71.42235633285,Esilyskiy_r-n,Huseyn_Ben_Talal,,18500000
кирпичный,2022,2,56.59,,,,Не интересует,,,3 м,паркинг,Prime Garden,,,,,нет,,680523063,owner,2,51.108414862962,71.443050970768,Esilyskiy_r-n,"​Kerey,_Zhәnіbek_handar",40,28900000
монолитный,2019,3 из 6,260,,,,Не интересует,,,3.3 м,,Baisanat,,,,,нет,,681704096,company,5,51.14424,71.398675,Esilyskiy_r-n,Karashash_ana,16,499900000
монолитный,2016,9,68,хорошее,раздельный,балкон,,полностью,"домофон, видеонаблюдение",,паркинг,Art House,,ламинат,металлическая,да,нет,проводной,681908033,owner,2,51.116455566714,71.428426592161,Esilyskiy_r-n,Almaty,11,37800000
кирпичный,2020,6 из 9,61,,,,Не интересует,,,3 м,паркинг,Sport City,,,,,нет,,680839033,specialist,2,51.115361660861,71.401343597728,Esilyskiy_r-n,Turan,42,36500000
монолитный,1998,15 из 25,102.3,хорошее,,,,,,2.7 м,паркинг,Свечки,,,,,нет,,681736048,specialist,4,51.174772,71.405833,Saryarka_r-n,Bogenbay_batyra,30,41000000
монолитный,2022,4 из 10,60,,,,Возможен обмен,,,3 м,паркинг,Sen,,,,,нет,,678730638,owner,2,51.125652,71.392595,Esilyskiy_r-n,Kazybek_bi,3/2,35800000
иное,2019,4 из 9,39,требует ремонта,совмещенный,,Не интересует,,"видеонаблюдение, домофон",2.7 м,,Экодом,,ламинат,металлическая,,нет,,681028168,owner,1,51.129259379607,71.367608060702,Esilyskiy_r-n,E11_ulitsa,10,16000000
кирпичный,2022,4 из 6,59,черновая отделка,совмещенный,балкон,,без мебели,,3 м,паркинг,Homeland,есть возможность подключения,,бронированная,да,нет,,680666601,owner,2,51.100423901173,71.385851626848,Esilyskiy_r-n,Uly_Dala,63/1,24000000
монолитный,2019,2 из 9,40,хорошее,совмещенный,лоджия,Не интересует,,,2.7 м,,Nova City,,ламинат,,,нет,оптика,681905891,owner,1,51.091473,71.451755,Esilyskiy_r-n,Uly_Dala,38,21000000
кирпичный,2022,7 из 10,90,,,,Не интересует,,,2.7 м,паркинг,"ЖК Баскару 2, 3, 4",,,,,нет,,681684077,specialist,3,51.111646933355,71.493716240366,Almaty_r-n,Rayymbek_batyr,54,26000000
монолитный,2022,13 из 16,60,черновая отделка,совмещенный,балкон,,,"домофон, кодовый замок, видеонаблюдение, видеодомофон",3 м,паркинг,Akbulak Comfort,,,металлическая,да,нет,,679928423,specialist,2,51.141049782876,71.46300082502,Almaty_r-n,Tauelsizdik,31/3,25500000
кирпичный,2022,1 из 9,67,,,,Не интересует,,,3 м,паркинг,Tole Bi,,,,,нет,,681335769,owner,2,51.124080979743,71.391970733763,Esilyskiy_r-n,Kazybek_bi,5A,37500000
монолитный,2011,8 из 22,116,хорошее,2 с/у и более,балкон и лоджия,Не интересует,,"домофон, охрана, консьерж, видеонаблюдение",3 м,паркинг,Гранд Астана,есть возможность подключения,паркет,деревянная,,нет,ADSL,681158157,owner,3,51.119939411148,71.464778515257,Almaty_r-n,Nazhimedenova,10/1,47000000
монолитный,2016,8 из 18,67,хорошее,,,Не интересует,,,,паркинг,Хайвил Астана,,,,,нет,,681700559,owner,2,51.128569487287,71.459663193673,Almaty_r-n,Koshkarbaeva,10/1,43000000
монолитный,2007,10 из 14,81,хорошее,2 с/у и более,лоджия,,частично,"домофон, видеонаблюдение",2.7 м,,Номад,,ламинат,металлическая,да,нет,проводной,681897218,specialist,3,51.123530453859,71.421663474522,Esilyskiy_r-n,Syganak,,38200000
панельный,1974,2 из 5,45.9,хорошее,совмещенный,балкон,,полностью,"домофон, видеонаблюдение",2.5 м,рядом охраняемая стоянка,,отдельный,ламинат,металлическая,да,нет,ADSL,680963761,company,2,51.167001,71.427501,Almaty_r-n,prospekt_Respubliki,28,23000000
монолитный,2011,3 из 18,64,среднее,совмещенный,балкон,Не интересует,частично,"домофон, видеонаблюдение, консьерж",3 м,паркинг,Жануя,есть возможность подключения,линолеум,металлическая,,нет,проводной,680417464,owner,2,51.124024,71.479486,Almaty_r-n,Baytursynova,14,22500000
монолитный,2021,4 из 9,55,хорошее,совмещенный,лоджия,,полностью,"охрана, кодовый замок, видеонаблюдение, видеодомофон",3 м,паркинг,Capital Park,есть возможность подключения,ламинат,металлическая,да,нет,проводной,680841968,owner,2,51.104143,71.452627,Esilyskiy_r-n,Kerey_Zhanibek_handary,50/1,40000000
кирпичный,2021,7 из 12,48,хорошее,совмещенный,лоджия,,частично,"домофон, кодовый замок, видеодомофон",2.7 м,,Budapest,есть возможность подключения,ламинат,металлическая,да,нет,через TV кабель,681371092,specialist,1,51.075777158748,71.395644787938,Esilyskiy_r-n,Kabanbay_batyra,59,25500000
кирпичный,2014,,270,хорошее,2 с/у и более,,,,,,гараж,,,,,,нет,,679866041,specialist,4,51.184438245865,71.418511202377,Saryarka_r-n,Muhtara_Auezova,55,100000000
монолитный,2021,2 из 9,85,,,,Не интересует,,"решетки на окнах, охрана, домофон, кодовый замок, видеонаблюдение",3 м,паркинг,Apple City,,,,,нет,,680341715,owner,3,51.087586011104,71.42876353873,Esilyskiy_r-n,Bokeyhana,,55000000
кирпичный,2007,3 из 9,79.3,хорошее,,балкон,,,домофон,,,,,,,,нет,,681790918,specialist,3,51.160545,71.438864,r-n_Baykonur,Baraeva,25,35000000
монолитный,2019,10 из 18,68,хорошее,2 с/у и более,лоджия,,,,3 м,паркинг,,,,бронированная,да,нет,,681903968,specialist,2,51.105585,71.397757,Esilyskiy_r-n,prospekt_Turan,,27999999
монолитный,2022,,123.4,,2 с/у и более,,,,,3 м,,Monaco Residence,,,,,,,669251946,complex,3,51.115698740539,71.461850549584,Almaty_r-n,Kaldayakova,,77742000
монолитный,2021,1 из 12,35.4,хорошее,совмещенный,балкон,Не интересует,,домофон,3 м,паркинг,Sat City,,ламинат,металлическая,,нет,,681880776,specialist,1,51.134473310354,71.380857777536,Esilyskiy_r-n,E-753,8,19500000
монолитный,2015,5 из 18,86,,,,,,,3 м,,Millenium Park,,,,,нет,,679401769,specialist,3,51.11965376137,71.475591659546,Esilyskiy_r-n,K__Amanzholova,28/2,50000000
панельный,1990,9 из 9,67.2,хорошее,раздельный,лоджия,Не интересует,,"домофон, видеонаблюдение",2.7 м,рядом охраняемая стоянка,,отдельный,линолеум,металлическая,да,нет,оптика,681755288,owner,3,51.159184,71.470584,Almaty_r-n,Abylay_Hana,4/2,28000000
кирпичный,2022,,91.86,черновая отделка,,лоджия,,,"домофон, видеонаблюдение",3 м,паркинг,,,,металлическая,да,нет,,679889724,company,3,51.12249204879,71.40413410407,Esilyskiy_r-n,prospekt_Turan,34a,37938180
